Name,Address,Website,Plus-code,lat,lon
Spotless Carwash N Cafe,"1/413 Canterbury Rd, Campsie NSW 2194, Australia ",https://www.facebook.com/Spotless-Carwash-N-Cafe-1716026815392523,"34M5+C8 Campsie, New South Wales, Australia",-33.9164439,151.108292
Gold Car Wash & Cafe,"44 O'Riordan St, Alexandria NSW 2015, Australia ",http://www.goldcarwashcafe.com.au/,"35QX+83 Alexandria, New South Wales, Australia",-33.9117478,151.1977002
Gem Premium Hand Car Wash Mascot,"55 Church Ave, Mascot NSW 2020, Australia ",https://gempremiumhandcarwash.com.au/,"35GP+XC Mascot, New South Wales, Australia",-33.9225713,151.1860844
Five Dock Hand Car Wash,"315 Parramatta Rd, Haberfield NSW 2045, Australia ",,"44GH+48 Haberfield, New South Wales, Australia",-33.8747024,151.1283111
Sydney Car spa,"Speedway Petrol Station, 49 Canterbury Rd, Bankstown NSW 2200, Australia ",https://www.sydneycarspa.com.au/,"328Q+QR Bankstown, New South Wales, Australia",-33.9330024,151.0395355
Gem Premium Hand Car Wash Waterloo,"Meriton Retail Precinct, Parking Level 1, Crescent St, Waterloo NSW 2017, Australia ",https://gempremiumhandcarwash.com.au/,"4627+WM Waterloo, New South Wales, Australia",-33.89764,151.2141467
Star Car Wash - Sydney QVB,"QVB, 455 George St, Sydney NSW 2000, Australia ",https://www.starcarwash.com.au/centres/qvb-cbd/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"46H4+5M Sydney, New South Wales, Australia",-33.8721139,151.206738
White Diamond Hand Car Wash,"273-277 Parramatta Rd, Haberfield NSW 2045, Australia ",http://www.diamondwash.com.au/,"44GH+3H Haberfield, New South Wales, Australia",-33.8747742,151.1288807
Fine Shine,"2/4 Defries Ave, Zetland NSW 2017, Australia ",http://www.fineshine.com.au/,"36V7+V5 Zetland, New South Wales, Australia",-33.905273,151.2129307
Star Car Wash - Norton Street Plaza,"Norton Plaza, 55 Norton St, Leichhardt NSW 2040, Australia ",https://www.starcarwash.com.au/centres/leichhardt/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"4575+JC Leichhardt, New South Wales, Australia",-33.8859147,151.1585587
